warehouseUnitId,issuanceId,projectLocationId,orgUid,unitOwner,countryJurisdictionOfOwner,inCountryJurisdictionOfOwner,serialNumberBlock,unitBlockStart,unitBlockEnd,unitCount,vintageYear,unitType,marketplace,marketplaceLink,marketplaceIdentifier,unitTags,unitStatus,unitStatusReason,unitRegistryLink,correspondingAdjustmentDeclaration,correspondingAdjustmentStatus,timeStaged,createdAt,updatedAt,labels,issuance
2d7d6a1b-a654-432b-a129-c981488ee484,208c5f3d-953b-406d-ad16-f67aa3e8c9b1,96586a8d-f35d-4bd0-b00f-d1b62af9cb4c,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,India,India,India,206630425-206630427,206630425,206630427,3,2012,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/P3ZIMAKX8SO42TVWYM43V0WVQVVDTV/view.html,Unknown,Not Applicable,1704720341,2024-01-08T16:56:59.997Z,2024-01-08T16:56:59.997Z,[],"{'id': '208c5f3d-953b-406d-ad16-f67aa3e8c9b1', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '96586a8d-f35d-4bd0-b00f-d1b62af9cb4c', 'startDate': '2012-04-01T00:00:00.000Z', 'endDate': '2012-12-31T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2012-04-01T00:00:00.000Z', 'verificationBody': 'LRQA', 'timeStaged': None, 'createdAt': '2024-01-07T15:05:45.509Z', 'updatedAt': '2024-01-07T15:05:45.509Z'}"
a1c0133c-8ddb-453e-95de-16804cfc28cf,3b0bca51-bde1-4cbb-a7cb-dc2e55f0079e,946c4927-1acd-407b-b452-535560afa7b6,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,Kenya,Kenya,Kenya,201960-201960,201960,201960,1,2012,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/UACW6CORMHEQTOAUBR5T6EVBL3E9L3/view.html,Unknown,Not Applicable,1704720340,2024-01-08T16:56:56.607Z,2024-01-08T16:56:56.607Z,[],"{'id': '3b0bca51-bde1-4cbb-a7cb-dc2e55f0079e', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '946c4927-1acd-407b-b452-535560afa7b6', 'startDate': '2012-03-21T00:00:00.000Z', 'endDate': '2013-03-20T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2012-03-21T00:00:00.000Z', 'verificationBody': 'PJRCES', 'timeStaged': None, 'createdAt': '2024-01-07T15:05:33.577Z', 'updatedAt': '2024-01-07T15:05:33.577Z'}"
97edaac9-6978-43fe-8e63-998bb5acd482,a4286d27-e701-441d-88f7-dae884085d2f,fb71941b-bb2f-49d2-9642-040c9bfd4d8e,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,Pakistan,Pakistan,Pakistan,4652259-4652283,4652259,4652283,25,2012,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/2LNK3MQ7UMXN0ZFT4WV7YGILFSQ0S7/view.html,Unknown,Not Applicable,1704720340,2024-01-08T16:56:58.319Z,2024-01-08T16:56:58.319Z,[],"{'id': 'a4286d27-e701-441d-88f7-dae884085d2f', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': 'fb71941b-bb2f-49d2-9642-040c9bfd4d8e', 'startDate': '2012-08-01T00:00:00.000Z', 'endDate': '2012-12-31T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2012-04-01T00:00:00.000Z', 'verificationBody': 'DNV', 'timeStaged': None, 'createdAt': '2024-01-07T15:05:49.817Z', 'updatedAt': '2024-01-07T15:05:49.817Z'}"
5bfe9ba9-4624-45ea-851a-038df262d95b,23f2a205-59bb-443a-8479-a7cda412bcaa,f1b650c8-2aa4-45fc-b46c-2f86f131d57b,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,India,India,India,211596374-211596433,211596374,211596433,60,2014,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/9HL693JLCUTSWSTN848J6RSV151WK3/view.html,Unknown,Not Applicable,1704720340,2024-01-08T16:56:58.466Z,2024-01-08T16:56:58.466Z,[],"{'id': '23f2a205-59bb-443a-8479-a7cda412bcaa', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': 'f1b650c8-2aa4-45fc-b46c-2f86f131d57b', 'startDate': '2013-02-01T00:00:00.000Z', 'endDate': '2015-03-31T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2012-12-31T00:00:00.000Z', 'verificationBody': 'TUV NORD', 'timeStaged': None, 'createdAt': '2024-01-04T18:32:08.026Z', 'updatedAt': '2024-01-04T18:32:08.026Z'}"
99d9786a-a500-40a2-ba0b-056b2cfa4bb1,23f2a205-59bb-443a-8479-a7cda412bcaa,f1b650c8-2aa4-45fc-b46c-2f86f131d57b,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,India,India,India,211596372-211596373,211596372,211596373,2,2014,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/9HL693JLCUTSWSTN848J6RSV151WK3/view.html,Unknown,Not Applicable,1704720339,2024-01-08T16:56:56.308Z,2024-01-08T16:56:56.308Z,[],"{'id': '23f2a205-59bb-443a-8479-a7cda412bcaa', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': 'f1b650c8-2aa4-45fc-b46c-2f86f131d57b', 'startDate': '2013-02-01T00:00:00.000Z', 'endDate': '2015-03-31T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2012-12-31T00:00:00.000Z', 'verificationBody': 'TUV NORD', 'timeStaged': None, 'createdAt': '2024-01-04T18:32:08.026Z', 'updatedAt': '2024-01-04T18:32:08.026Z'}"
68f1204d-60d3-4718-8815-cc2417d53090,3b0bca51-bde1-4cbb-a7cb-dc2e55f0079e,946c4927-1acd-407b-b452-535560afa7b6,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,Kenya,Kenya,Kenya,201958-201959,201958,201959,2,2012,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/UACW6CORMHEQTOAUBR5T6EVBL3E9L3/view.html,Unknown,Not Applicable,1704720339,2024-01-08T16:56:59.150Z,2024-01-08T16:56:59.150Z,[],"{'id': '3b0bca51-bde1-4cbb-a7cb-dc2e55f0079e', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '946c4927-1acd-407b-b452-535560afa7b6', 'startDate': '2012-03-21T00:00:00.000Z', 'endDate': '2013-03-20T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2012-03-21T00:00:00.000Z', 'verificationBody': 'PJRCES', 'timeStaged': None, 'createdAt': '2024-01-07T15:05:33.577Z', 'updatedAt': '2024-01-07T15:05:33.577Z'}"
784649cb-e91f-4389-840e-51e7d052486b,7616d126-b049-474c-8db9-28c5fa5777c4,107d1f24-dbef-4c67-a74f-e492aedeb76a,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,Thailand,Thailand,Thailand,9054701-9054701,9054701,9054701,1,2011,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/NNWT4CRIXKFL0AFBRFXYBFR594EK1B/view.html,Unknown,Not Applicable,1704720338,2024-01-08T16:56:55.533Z,2024-01-08T16:56:55.533Z,[],"{'id': '7616d126-b049-474c-8db9-28c5fa5777c4', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '107d1f24-dbef-4c67-a74f-e492aedeb76a', 'startDate': '2011-10-01T00:00:00.000Z', 'endDate': '2012-12-31T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2011-10-01T00:00:00.000Z', 'verificationBody': 'RINA', 'timeStaged': None, 'createdAt': '2024-01-07T15:05:51.196Z', 'updatedAt': '2024-01-07T15:05:51.196Z'}"
96a31f0b-f65c-435a-9237-4aa2d0c7d894,a4286d27-e701-441d-88f7-dae884085d2f,fb71941b-bb2f-49d2-9642-040c9bfd4d8e,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,Pakistan,Pakistan,Pakistan,4652256-4652258,4652256,4652258,3,2012,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/2LNK3MQ7UMXN0ZFT4WV7YGILFSQ0S7/view.html,Unknown,Not Applicable,1704720338,2024-01-08T16:56:57.250Z,2024-01-08T16:56:57.250Z,[],"{'id': 'a4286d27-e701-441d-88f7-dae884085d2f', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': 'fb71941b-bb2f-49d2-9642-040c9bfd4d8e', 'startDate': '2012-08-01T00:00:00.000Z', 'endDate': '2012-12-31T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2012-04-01T00:00:00.000Z', 'verificationBody': 'DNV', 'timeStaged': None, 'createdAt': '2024-01-07T15:05:49.817Z', 'updatedAt': '2024-01-07T15:05:49.817Z'}"
4d56058a-356b-4896-a107-0ef796c836c0,3b0bca51-bde1-4cbb-a7cb-dc2e55f0079e,946c4927-1acd-407b-b452-535560afa7b6,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,Kenya,Kenya,Kenya,201957-201957,201957,201957,1,2012,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/UACW6CORMHEQTOAUBR5T6EVBL3E9L3/view.html,Unknown,Not Applicable,1704720337,2024-01-08T16:56:56.077Z,2024-01-08T16:56:56.077Z,[],"{'id': '3b0bca51-bde1-4cbb-a7cb-dc2e55f0079e', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '946c4927-1acd-407b-b452-535560afa7b6', 'startDate': '2012-03-21T00:00:00.000Z', 'endDate': '2013-03-20T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2012-03-21T00:00:00.000Z', 'verificationBody': 'PJRCES', 'timeStaged': None, 'createdAt': '2024-01-07T15:05:33.577Z', 'updatedAt': '2024-01-07T15:05:33.577Z'}"
4f20c130-8cee-41bd-85c6-2bb220911b42,5e25a65c-3cef-410c-9c08-b8718c3aa32b,70ef06ed-e800-4b3d-ba94-b5933fdaca15,b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985,India,India,India,204678474-204678477,204678474,204678477,4,2012,Not Determined,,,,,Retired,,https://cdm.unfccc.int/Projects/Validation/DB/FKR43WT0H7Y09PIPKBNVGEA6QX28VA/view.html,Unknown,Not Applicable,1704720337,2024-01-08T16:56:58.650Z,2024-01-08T16:56:58.650Z,[],"{'id': '5e25a65c-3cef-410c-9c08-b8718c3aa32b', 'orgUid': 'b3d4e71d806e86ff1f8712b6854d65e2c178e873ee22b2f7d0da937dacbaa985', 'warehouseProjectId': '70ef06ed-e800-4b3d-ba94-b5933fdaca15', 'startDate': '2012-12-05T00:00:00.000Z', 'endDate': '2012-12-31T00:00:00.000Z', 'verificationApproach': 'NA', 'verificationReportDate': '2012-12-05T00:00:00.000Z', 'verificationBody': 'EPIC', 'timeStaged': None, 'createdAt': '2024-01-04T18:32:11.874Z', 'updatedAt': '2024-01-04T18:32:11.874Z'}"
